哦呀？\n{STRVAR 1,0}拿着什么东西……\r要收下它拿着的东西吗？{YESNO 0}
{STRVAR 1,0}\n身体有些颤抖。
看着手上的{STRVAR 8,4}\n流着口水……
想将手上的{STRVAR 8,4}\n交给妈妈！
盯着\n山顶看。
看着被染红的天空\n非常开心！
看着夜空\n有些出神！
被{STRVAR 1,0}的声音\n吓了一跳！
{STRVAR 1,0}\n大吼了一声！
{STRVAR 1,0}\n挑起了健壮的舞蹈！
{STRVAR 1,0}\n非常开心地跳起了舞！
{STRVAR 1,0}喷出火焰，\n干劲满满！
{STRVAR 1,0}\n大叫一声！
哇！{STRVAR 1,0}\n突然抱了上来！
哇！{STRVAR 1,0}\n突然就玩起来了！
哇！{STRVAR 1,0}\n突然就跳起来了！
哇！\n一阵冷风吹过！……\f不过它还很开心。
哇！\n突然就蹭来蹭去的了！\f要摸摸它的头吗？{YESNO 0}
哇！\n突然泼水过来了！
哇！\n突然大叫起来了！
嗯？\n在山上找到什么了吗？
似乎有点害怕！
很开心的样子！
……感觉\n稍微有点无聊。
稍微有点悲伤！
啊！吃了后\n感觉有些恶心……
哇！\n吓了一大跳！
……感觉\n硬硬的，动不了
超高兴地！
……\n超爽的！
非常开心！
啊！\n快哭了！
在反省，\n无精打采的……
……感觉\n好像做了什么坏事一样。
吓得跳了起来！
口水\n流了下来……
很开心的样子！
哇！\n身体弄圆圆的！
哇！\n来蹭你的脸啦！
啊！\n好像快哭出来了……
感觉还蛮开心的！
在发呆……
和{STRVAR 3,2}\n一起玩很开心！
慢吞吞的\n想要咬……
看着{STRVAR 3,2}的脸\n很安心！
啊！\n差点摔倒……
吓了一跳！
口水\n流下来了……
有点呆……
另一只鞋子也开始啃了！
似乎稍微吓了一跳！
还在戳，\n似乎感觉很有意思……
有点呆……
啊！不知怎么\n表情有点愁眉不展！
……似乎是在反省了。
这次用舌头舔了……
似乎是在反省了。
啊！架子快倒了，\n吓了一大跳！
掉了张纸片下来。
啊！喉咙卡住了，\n咳嗽了一声！
稍微有点害羞。
啊！\n似乎稍微有些麻痹！
义无反顾地盯着开关。
咔嚓！\r……不过\n似乎什么都没有发生。
边流着口水\n边呆在一边……
啊！\n喉咙卡住了！
拿出了嘴巴里的\n垃圾！
啊！\n喉咙卡住了！
超开心地\n滚来滚去！
……稍微有些寂寞。
非常开心！
悲伤地吐出了\n垃圾！
吓得大叫了起来！
开心地大叫了起来！
开心地\n跳了起来！
大叫后\n开始反省！
吓得发出了怪声！
开心地\n跳起了舞来！
开心地\n活动身体！
用很大的声音回话！
能陪它玩感觉很开心！
吓得大叫了起来！
吓得大叫了起来！
很不甘心地咬嘴巴！
反省着\n……
掏出了嘴巴里的\n垃圾！
非常开心地\n转来转去！
{STRVAR 1,0}和舞女\n一同跳起了舞！
{STRVAR 1,0}和舞女\n一同跳起了舞！
向{STRVAR 1,0}展示了\n自己的强大！
和{STRVAR 1,0}一起\n闪闪发亮！
{STRVAR 1,0}一动不动\n装树！
{STRVAR 1,0}一动不动\n在装树？
{STRVAR 1,0}摇晃手指\n跳起了舞！
{STRVAR 1,0}看着电梯\n心情似乎不太好。
{STRVAR 1,0}\n激动地到处走动！
{STRVAR 1,0}移到了\n一旁！
{STRVAR 1,0}很兴奋，\n呼吸都急促了！
{STRVAR 1,0}摇摇晃晃的\n很开心。
{STRVAR 1,0}突然\n皮皮～地叫了起来！
{STRVAR 1,0}\n跳着！
{STRVAR 1,0}\n翻着垃圾桶……
{STRVAR 1,0}\n感觉很悲伤……
{STRVAR 1,0}\n害怕的有些颤抖。
{STRVAR 1,0}闭上眼睛\n好像在祈祷。
{STRVAR 1,0}\n开心地跳了起来！
{STRVAR 1,0}\n想和其他的精灵们玩！
{STRVAR 1,0}\n摇晃着肚子。
悉悉索索地讲了什么吗？
{STRVAR 1,0}张开大嘴\n开始叫！
{STRVAR 1,0}亮出爪子\n开始叫！
{STRVAR 1,0}移动着长长的\n身体发出大叫！
{STRVAR 1,0}对着天空\n大声咆哮！
{STRVAR 1,0}发出了能让人\n颤抖的雄叫！
{STRVAR 1,0}张开身体\n发出大叫！
{STRVAR 1,0}吧唧吧唧地\n开心地飞来飞去！
{STRVAR 1,0}\n开心地跳着舞！
{STRVAR 1,0}盯着\n{STRVAR 3,2}的脸看。
{STRVAR 1,0}嗅着{STRVAR 3,2}的\n气味。
{STRVAR 1,0}\n朝着这边笑了一笑！
{STRVAR 1,0}\n似乎还不习惯自己的名字。
{STRVAR 1,0}\n放出了软绵绵的孢子！
{STRVAR 1,0}\n想贴到树上！
……哦呀？\n{STRVAR 1,0}的样子……\f没有变化！
{STRVAR 1,0}张开藤蔓\n缠住了你！\f好像很开心的样子！
{STRVAR 1,0}跳的\n比舞女还好！
好像有种\n很怀念的味道……
{STRVAR 1,0}\n非常放松。
{STRVAR 1,0}\n看着研究所。
似乎对转来转去的机器\n很好奇。
{STRVAR 1,0}\n拿出了干劲！
{STRVAR 1,0}\n在积蓄力量！
{STRVAR 1,0}\n似乎对盒子的里面很好奇。
{STRVAR 1,0}\n看着石头。
{STRVAR 1,0}\n想在泳池边奔跑！
是在做准备运动吗？
{STRVAR 1,0}\n跟呆河马问了好！
{STRVAR 1,0}\n跟月桂叶问了好！
{STRVAR 1,0}\n盯着大海看。
{STRVAR 1,0}\n似乎很想坐船！
{STRVAR 1,0}\n似乎很想坐电车！
{STRVAR 1,0}\n抬头看着天花板
{STRVAR 1,0}被不稳的地板\n吓了一跳！
{STRVAR 1,0}模仿\n{STRVAR 3,2}！
……　……　……\r……　……　……\r……　……　……\r……　……　{STRVAR 1,0}\n什么都没说就点了点头！
{STRVAR 1,0}\n冲着澡很舒服！
{STRVAR 1,0}\n冲着澡感觉有些难受……
{STRVAR 1,0}\n流着口水……
{STRVAR 1,0}的喉咙\n发出破音。
{STRVAR 1,0}\n觉得很窄很兴奋。
{STRVAR 1,0}\n好像撞到了什么东西！
{STRVAR 1,0}\n很想和手尾猴一起玩！
{STRVAR 1,0}\n滚着石头玩。
{STRVAR 1,0}的\n喉咙发出破音。
{STRVAR 1,0}\n慢慢地喃喃着。
{STRVAR 1,0}\n调整气势！
{STRVAR 1,0}\n正在集中……
{STRVAR 1,0}\n突然开始咆哮！
